Name,Description,Classification,Rating,Image,Notable characters
Goblin,"Goblins are a highly intelligent race of small hominids with long fingers and feet that coexist with the wizard world.  Their diet consists of meat, roots and fungi. Goblins converse in a language known as Gobbledegook, and are adept metalsmiths notable for their silverwork; they even mint coins for wizarding currency. Due to their skills with money and finances, they control the wizarding economy to a large extent and run Gringotts Wizarding Bank.

Goblins have their own type of magic and can do magic without a wand. They are represented by the Goblin Liaison Office of the Department for the Regulation and Control of Magical Creatures in the Ministry of Magic. Goblins are considered to be inferior by many wizards, who foolishly believe that the goblins are comfortable with that arrangement.",Being,,,Griphook
House elf,"A house-elf (sometimes also referred to as just elves) is a magical creature which is immensely devoted and loyal to the one designated as their master. They serve wizards and witches and are usually found under the employment of old wizarding families taking residence in elaborate establishments, like mansions, and must do everything that their masters command unless they are freed. A house-elf can only be freed when their master presents them with clothes.",Being,,http://img3.wikia.nocookie.net/__cb20100609151144/harrypotter/images/1/18/DOBBY2.jpg,Dobby
Hippogriff,"A Hippogriff is a magical creature that has the front legs, wings, and head of a giant eagle and the body, hind legs and tail of a horse. It is very similar to another mythical creature, the Griffin, with the horse rear replacing the lionrear. Hippogriffs have cruel, steel-coloured beaks and large, brilliantly orange eyes. The talons on their front legs are half a foot long and appear deadly.",Beast,,http://img3.wikia.nocookie.net/__cb20130826203202/harrypotter/images/e/e8/Hippogriff.png,Buckbeak
Giants,"A giant is a very large humanoid which can potentially grow to approximately twenty five feet tall and appear to be a large human. Some may appear as large and hairy humanoids, while others resemble humongous-sized people, and some may even have bestial features (i.e. protuding sharp molars). A powerful and nearly unstoppable race, giants generally aggregate themselves in tribes since their numbers have greatly dwindled in recent centuries. A giant tribe is led by the strongest giant, known as the Gurg.",Being,,,Hagrid (half-giant)
Thestral,"A Thestral is a breed of winged horses with a skeletal body, face with reptilian features, and wide, leathery wings that resemble a bat's. They are very rare, and are considered dangerous by the Ministry of Magic. Thestrals are, undeservedly, known as omens of misfortune and aggression by many wizards because they are visible only to those who have witnessed death at least once (and fully accepted the concept) or due to their somewhat grim, gaunt and ghostly appearance.",Beast,XXXX,,
Phoenix,"The phoenix is a large swan-sized scarlet bird with red and gold plumage, along with a golden beak and talons, black eyes, and a tail as long as a peacock's. Its scarlet feathers glow faintly in darkness, while its golden tail feathers are hot to the touch. Phoenixes are known for nesting on mountain peaks. They are gentle herbivores and are not known for fighting. As phoenixes approach their Burning Day they resemble a half-plucked turkey. Also, their eyes become dull, their feathers start to fall out, and it begins to make gagging noises. Then the bird suddenly bursts into flames only to rise from the ashes shortly after. In a number of days, they grow back to full size.[1][2] Thanks to this ability, phoenixes live to an immense age.",Beast,XXXX,,Fawkes
Dragon,"Dragons are giant winged, fire-breathing reptiles. Widely regarded as terrifying yet awe-inspiring, they can be found all over the world and are frequently referred to in Asian and medieval European folklore. Able to fly and breathe fire through their nostrils, they are one of the most dangerous and hardest to conceal creatures in the wizarding world. The Ministry of Magic classifies them as XXXXX, known wizard killers that are impossible to train or domesticate. Despite how dangerous they are, there are people who are trained to work with them, called dragon keepers, or dragonologists. A wizard who trades and sells dragon eggs (which is an illegal activity) is referred to as a dragon dealer.",Beast,XXXXX,,
Acromantula,"An Acromantula is a species of giant spider, native to the rainforests of Southeast Asia, particularly Borneo where it inhabits dense jungles. Acromantulas are believed to be a wizard-bred species, designed to guard dwellings or treasure hoards, and were first created before the Ban on Experimental Breeding in 1965. These giant spiders, with a taste for human flesh, were first spotted in 1794.",Beast,XXXXX,,Aragog
Basilisk,"The Basilisk is a giant serpent, also known as the King of Serpents. It is a creature bred by Dark Wizards. Herpo the Foul was the first to breed a Basilisk; he accomplished this by hatching a chicken egg beneath a toad which resulted in the creature known as a Basilisk. Basilisk breeding was banned in Medieval times. The practice can be hidden when the Department for Regulation and Control of Magical Creatures comes to check by simply removing the egg from the toad.",Beast,XXXXX,,
Dementor,"A Dementor is a non-being[1] and Dark creature, considered one of the foulest to inhabit the world. Dementors feed off human happiness, and thus cause depression and despair to anyone near them. They can also consume a person's soul, leaving their victims in a permanent vegetative state, and thus are often referred to as ""soul-sucking fiends"" and are known to leave a person as an 'empty-shell'.",Non-being,,,
Boggart,"A boggart is an amortal shape-shifting non-being that takes on the form of the viewer's worst fear. When facing a boggart, it is best to have someone else along, to try to confuse it, since facing more than one person at once would make it indecisive as to what form it must take, usually a mixed-up amalgam of the victims' fears. Because of their shape-shifting ability, no one knows what a boggart looks like when it is alone, as it instantly changes into your worst fears when you first see it.",Non-being,,,
Ghost,A ghost is the disembodied spirit of a once-living wizard or witch. Only magical beings can become ghosts. Many ghosts take up residence within Hogwarts Castle. These fleshless spirits were either afraid of death or have some extraordinarily strong connection to the locations they haunt.,Spirit,,,Nearly Headless Nick
Centaur,"A Centaur is a magical creature whose head, torso and arms appear to be human and are joined to a horse's body.

They are, however, their own species, and are not any kind of half-breed.

Despite possessing 'human intelligence', centaurs are classified as Beasts by the Ministry of Magic, at their own request, as they were unhappy at having to share Being status with hags and vampires.",Being,XXXX,,Firenze
